Rank,Team,Rating,Month,Year
8,Sri Lanka,76,4,1992
1,England,120,5,1992
2,Australia,117,5,1992
3,Pakistan,104,5,1992
4,West Indies,100,5,1992
5,New Zealand,100,5,1992
6,India,95,5,1992
7,South Africa,84,5,1992
8,Sri Lanka,76,5,1992
1,England,120,6,1992
2,Australia,107,6,1992
3,Pakistan,104,6,1992
4,West Indies,100,6,1992
5,New Zealand,100,6,1992
6,India,95,6,1992
7,Sri Lanka,90,6,1992
8,South Africa,84,6,1992
1,England,120,7,1992
2,Australia,109,7,1992
3,Pakistan,104,7,1992
4,West Indies,100,7,1992
5,New Zealand,100,7,1992
6,India,97,7,1992
7,Sri Lanka,88,7,1992
8,South Africa,84,7,1992
1,England,120,8,1992
2,Australia,109,8,1992
3,Pakistan,104,8,1992
4,New Zealand,101,8,1992
5,West Indies,100,8,1992
6,India,97,8,1992
7,Sri Lanka,88,8,1992
8,South Africa,84,8,1992
1,England,120,9,1992
2,Australia,109,9,1992
3,Pakistan,106,9,1992
4,New Zealand,101,9,1992
5,West Indies,98,9,1992
6,India,97,9,1992
7,Sri Lanka,88,9,1992
8,South Africa,84,9,1992
1,England,120,0,1993
2,Australia,112,0,1993
3,West Indies,103,0,1993
4,New Zealand,98,0,1993
5,South Africa,97,0,1993
6,Pakistan,96,0,1993
7,Sri Lanka,96,0,1993
8,India,90,0,1993
1,England,117,1,1993
2,West Indies,109,1,1993
3,Australia,108,1,1993
4,New Zealand,98,1,1993
5,South Africa,97,1,1993
6,Sri Lanka,96,1,1993
7,Pakistan,94,1,1993
8,India,92,1,1993
1,England,119,2,1993
2,West Indies,111,2,1993
3,Australia,108,2,1993
4,New Zealand,98,2,1993
5,Pakistan,97,2,1993
6,South Africa,94,2,1993
7,India,91,2,1993
8,Sri Lanka,91,2,1993
1,West Indies,109,3,1993
2,Australia,108,3,1993
3,England,107,3,1993
4,Pakistan,98,3,1993
5,New Zealand,98,3,1993
6,Sri Lanka,97,3,1993
7,India,96,3,1993
8,South Africa,94,3,1993
9,Zimbabwe,27,3,1993
1,Australia,109,4,1993
2,West Indies,109,4,1993
3,England,105,4,1993
4,Pakistan,98,4,1993
5,New Zealand,98,4,1993
6,Sri Lanka,97,4,1993
7,India,96,4,1993
8,South Africa,94,4,1993
9,Zimbabwe,27,4,1993
1,Australia,112,5,1993
2,West Indies,109,5,1993
3,England,101,5,1993
4,Pakistan,98,5,1993
5,India,98,5,1993
6,New Zealand,98,5,1993
7,Sri Lanka,95,5,1993
8,South Africa,94,5,1993
9,Zimbabwe,27,5,1993
1,West Indies,113,6,1993
2,Australia,108,6,1993
3,Sri Lanka,101,6,1993
4,England,100,6,1993
5,India,99,6,1993
6,New Zealand,98,6,1993
7,Pakistan,96,6,1993
8,South Africa,95,6,1993
9,Zimbabwe,27,6,1993
1,West Indies,113,7,1993
2,Australia,108,7,1993
3,Sri Lanka,103,7,1993
4,England,100,7,1993
5,South Africa,99,7,1993
6,New Zealand,98,7,1993
7,Pakistan,96,7,1993
8,India,95,7,1993
9,Zimbabwe,27,7,1993
1,West Indies,115,8,1993
2,Australia,108,8,1993
3,Sri Lanka,104,8,1993
4,England,100,8,1993
5,New Zealand,98,8,1993
6,Pakistan,96,8,1993
7,South Africa,96,8,1993
8,India,95,8,1993
9,Zimbabwe,27,8,1993
1,West Indies,114,9,1993
2,Australia,108,9,1993
3,Sri Lanka,100,9,1993
4,England,100,9,1993
5,Pakistan,99,9,1993
6,New Zealand,98,9,1993
7,South Africa,96,9,1993
8,India,95,9,1993
9,Zimbabwe,27,9,1993
1,West Indies,115,10,1993
2,Australia,105,10,1993
3,India,101,10,1993
4,South Africa,100,10,1993
5,Pakistan,100,10,1993
6,England,100,10,1993
7,New Zealand,98,10,1993
8,Sri Lanka,89,10,1993
9,Zimbabwe,29,10,1993
1,West Indies,113,0,1994
2,Australia,111,0,1994
3,Pakistan,101,0,1994
4,India,101,0,1994
5,England,100,0,1994
6,New Zealand,99,0,1994
7,South Africa,93,0,1994
8,Sri Lanka,91,0,1994
9,Zimbabwe,26,0,1994
1,West Indies,113,1,1994
2,Australia,109,1,1994
3,India,102,1,1994
4,Pakistan,101,1,1994
5,England,100,1,1994
6,New Zealand,97,1,1994
7,South Africa,96,1,1994
8,Sri Lanka,90,1,1994
9,Zimbabwe,26,1,1994
1,West Indies,114,2,1994
2,Australia,105,2,1994
3,South Africa,101,2,1994
